kommune_no,kommune_name,week,share,amount,total
1507,Ålesund,11,0.0065670985081194,232,35328
1507,Ålesund,12,0.06872808266255989,2428,35328
1507,Ålesund,13,0.029721782041057597,1050,35328
1507,Ålesund,14,0.011690567602816,413,35328
1507,Ålesund,I alt,0.11670753081455301,4123,35328
1511,Vanylven,11,,,1580
1511,Vanylven,12,0.025311986048033298,40,1580
1511,Vanylven,13,0.008859195116811651,14,1580
1511,Vanylven,14,0.0025311986048033304,4,1580
1511,Vanylven,I alt,0.0379679790720499,60,1580
1514,Sande,11,0.00619154312603273,8,1292
1514,Sande,12,0.0441147447729832,57,1292
1514,Sande,13,0.0178006864873441,23,1292
1514,Sande,14,0.00696548601678682,9,1292
1514,Sande,I alt,0.0750724604031469,97,1292
1515,Herøy,11,0.008006171243347569,37,4621
1515,Herøy,12,0.0599380928218183,277,4621
1515,Herøy,13,0.022503832684004,104,4621
1515,Herøy,14,0.0127665973880407,59,4621
1515,Herøy,I alt,0.103214694137211,477,4621
1516,Ulstein,11,0.00525943131084094,24,4563
1516,Ulstein,12,0.0631131757300912,288,4563
1516,Ulstein,13,0.0341863035204661,156,4563
1516,Ulstein,14,0.013806007190957502,63,4563
1516,Ulstein,I alt,0.116364917752356,531,4563
1517,Hareid,11,0.00653797621945756,17,2600
1517,Hareid,12,0.0534575702649765,139,2600
1517,Hareid,13,0.034997402115919896,91,2600
1517,Hareid,14,0.012691365602476402,33,2600
1517,Hareid,I alt,0.10768431420282999,280,2600
1520,Ørsta,11,0.0056431348531118496,32,5671
1520,Ørsta,12,0.0671885743448629,381,5671
1520,Ørsta,13,0.019398276057572,110,5671
1520,Ørsta,14,0.009875485992945729,56,5671
1520,Ørsta,I alt,0.102105471248492,579,5671
1525,Stranda,11,0.00748122213244756,19,2540
1525,Stranda,12,0.0433123386615385,110,2540
1525,Stranda,13,0.0255936546636364,65,2540
1525,Stranda,14,0.011024958932028,28,2540
1525,Stranda,I alt,0.08741217438965039,222,2540
1528,Sykkylven,11,0.0029436172198663703,12,4077
1528,Sykkylven,12,0.055683425742472294,227,4077
1528,Sykkylven,13,0.166804975792428,680,4077
1528,Sykkylven,14,0.025511349238841897,104,4077
1528,Sykkylven,I alt,0.250943367993608,1023,4077
1531,Sula,11,0.006302584649302841,31,4919
1531,Sula,12,0.0611960638529082,301,4919
1531,Sula,13,0.0333427058866344,164,4919
1531,Sula,14,0.011588623387427801,57,4919
1531,Sula,I alt,0.112429977776273,553,4919
1532,Giske,11,0.00751796451794128,33,4389
1532,Giske,12,0.0662947780218458,291,4389
1532,Giske,13,0.0277936870057223,122,4389
1532,Giske,14,0.00774578162454556,34,4389
1532,Giske,I alt,0.109352211170055,480,4389
1535,Vestnes,11,0.00323998351732022,11,3395
1535,Vestnes,12,0.0421197857251628,143,3395
1535,Vestnes,13,0.015610829674360999,53,3395
1535,Vestnes,14,0.00795268681524053,27,3395
1535,Vestnes,I alt,0.0689232857320846,234,3395
1539,Rauma,11,0.00571450984181457,22,3850
1539,Rauma,12,0.0807823891274697,311,3850
1539,Rauma,13,0.0319493050246906,123,3850
1539,Rauma,14,0.010649768341563498,41,3850
1539,Rauma,I alt,0.129095972335538,497,3850
1547,Aukra,11,0.00575451801595728,10,1738
1547,Aukra,12,0.0506397585404241,88,1738
1547,Aukra,13,0.0293480418813821,51,1738
1547,Aukra,14,0.00345271080957437,6,1738
1547,Aukra,I alt,0.08919502924733781,155,1738
1554,Averøy,11,0.00233801716104596,7,2994
1554,Averøy,12,0.0323982378030655,97,2994
1554,Averøy,13,0.0167001225788997,50,2994
1554,Averøy,14,0.00434203187051393,13,2994
1554,Averøy,I alt,0.0557784094135251,167,2994
1557,Gjemnes,11,0.00297045511085367,4,1347
1557,Gjemnes,12,0.028961937330823303,39,1347
1557,Gjemnes,13,0.014109661776554901,19,1347
1557,Gjemnes,14,0.0081687515548476,11,1347
1557,Gjemnes,I alt,0.0542108057730795,73,1347
1560,Tingvoll,11,0.0040313017140423,6,1488
1560,Tingvoll,12,0.0376254826643948,56,1488
1560,Tingvoll,13,0.0248596939032609,37,1488
1560,Tingvoll,14,0.010078254285105802,15,1488
1560,Tingvoll,I alt,0.0765947325668037,114,1488
1563,Sunndal,11,0.00167470244724269,6,3583
1563,Sunndal,12,0.047170785597335695,169,3583
1563,Sunndal,13,0.0178634927705887,64,3583
1563,Sunndal,14,0.0041867561181067195,15,3583
1563,Sunndal,I alt,0.07089573693327371,254,3583
1566,Surnadal,11,0.00622340314026371,19,3053
1566,Surnadal,12,0.0547004381275811,167,3053
1566,Surnadal,13,0.013101901347923599,40,3053
1566,Surnadal,14,0.00884378340984844,27,3053
1566,Surnadal,I alt,0.0828695260256168,253,3053
1573,Smøla,11,,,1117
1573,Smøla,12,0.0259525712286216,29,1117
1573,Smøla,13,0.010738994991153801,12,1117
1573,Smøla,14,0.00984407874189094,11,1117
1573,Smøla,I alt,0.047430561210929104,53,1117
1576,Aure,11,,,1797
1576,Aure,12,0.023372105058725202,42,1797
1576,Aure,13,0.00834718037811614,15,1797
1576,Aure,14,0.00556478691874409,10,1797
1576,Aure,I alt,0.0383970297393343,69,1797
1577,Volda,11,0.00456907180067881,24,5253
1577,Volda,12,0.053876971649671,283,5253
1577,Volda,13,0.023226114986784,122,5253
1577,Volda,14,0.00666322970932327,35,5253
1577,Volda,I alt,0.08833538814645699,464,5253
1578,Fjord,11,0.0066365074273579,9,1356
1578,Fjord,12,0.0545668388471649,74,1356
1578,Fjord,13,0.011060845712263201,15,1356
1578,Fjord,14,0.00811128685565965,11,1356
1578,Fjord,I alt,0.0803754788424456,109,1356
1579,Hustadvika,11,0.00550087746047902,39,7090
1579,Hustadvika,12,0.042455490143697,301,7090
1579,Hustadvika,13,0.013399573301166801,95,7090
1579,Hustadvika,14,0.00818079212071238,58,7090
1579,Hustadvika,I alt,0.0695367330260553,493,7090
1804,Bodø,11,0.00746181192159461,215,28813
1804,Bodø,12,0.07444458870614161,2145,28813
1804,Bodø,13,0.0238083859451809,686,28813
1804,Bodø,14,0.00919711701963987,265,28813
1804,Bodø,I alt,0.114911903592557,3311,28813
1806,Narvik,11,,58,
1806,Narvik,12,,571,
1806,Narvik,13,,199,
1806,Narvik,14,,84,
1806,Narvik,I alt,,912,
1811,Bindal,11,,,651
1811,Bindal,12,0.0261208535065709,17,651
1811,Bindal,13,0.013828687150537599,9,651
1811,Bindal,14,,,651
1811,Bindal,I alt,0.041486061451612696,27,651
1812,Sømna,11,0.0109933929708245,11,1001
1812,Sømna,12,0.0349789776344417,35,1001
1812,Sømna,13,0.012992191692792601,13,1001
1812,Sømna,14,,,1001
1812,Sømna,I alt,0.061962760381011,62,1001
1813,Brønnøy,11,0.00224889972580915,9,4002
1813,Brønnøy,12,0.042729094790373796,171,4002
1813,Brønnøy,13,0.0202400975322823,81,4002
1813,Brønnøy,14,0.00424792170430617,17,4002
1813,Brønnøy,I alt,0.0694660137527715,278,4002
1815,Vega,11,,,585
1815,Vega,12,0.0153930618339294,9,585
1815,Vega,13,0.00855170101884966,5,585
1815,Vega,14,0.00684136081507973,4,585
1815,Vega,I alt,0.0342068040753986,20,585
1816,Vevelstad,11,,,230
1816,Vevelstad,12,0.017382839660687,4,230
1816,Vevelstad,13,,,230
1816,Vevelstad,14,,,230
1816,Vevelstad,I alt,0.017382839660687,4,230
1818,Herøy,11,,,846
1818,Herøy,12,0.029555124444807,25,846
1818,Herøy,13,0.00945763982233824,8,846
1818,Herøy,14,,,846
1818,Herøy,I alt,0.0425593792005221,36,846
1820,Alstahaug,11,0.0018608568235493,7,3762
1820,Alstahaug,12,0.0651299888242256,245,3762
1820,Alstahaug,13,0.0183427315464146,69,3762
1820,Alstahaug,14,0.0077092639832756805,29,3762
1820,Alstahaug,I alt,0.0930428411774651,350,3762
1822,Leirfjord,11,,,1116
1822,Leirfjord,12,0.042126548150644504,47,1116
1822,Leirfjord,13,0.013444643026801399,15,1116
1822,Leirfjord,14,0.00896309535120096,10,1116
1822,Leirfjord,I alt,0.0663269055988871,74,1116
1824,Vefsn,11,0.00244534650559984,17,6952
1824,Vefsn,12,0.0529345596506319,368,6952
1824,Vefsn,13,0.0175489572754812,122,6952
1824,Vefsn,14,0.00704835169261131,49,6952
1824,Vefsn,I alt,0.0799772151243243,556,6952
1825,Grane,11,,,747
1825,Grane,12,0.0307902793749306,23,747
1825,Grane,13,0.008032246793460141,6,747
1825,Grane,14,0.008032246793460141,6,747
1825,Grane,I alt,0.05087089635858091,38,747
1826,Aarborte,11,,,681
1826,Aarborte,12,0.00881023631990555,6,681
1826,Aarborte,13,0.00734186359992129,5,681
1826,Aarborte,14,0.00587349087993704,4,681
1826,Aarborte,I alt,0.0249623362397324,17,681
1827,Dønna,11,,,672
1827,Dønna,12,0.025310613335715503,17,672
1827,Dønna,13,,,672
1827,Dønna,14,0.00595543843193306,4,672
1827,Dønna,I alt,0.0357326305915984,24,672
1828,Nesna,11,,,890
1828,Nesna,12,0.0359464936442106,32,890
1828,Nesna,13,0.00561663963190791,5,890
1828,Nesna,14,,,890
1828,Nesna,I alt,0.0438097891288817,39,890
1832,Hemnes,11,,,2143
1832,Hemnes,12,0.028465632415355602,61,2143
1832,Hemnes,13,0.0158660901987228,34,2143
1832,Hemnes,14,0.00746639538763425,16,2143
1832,Hemnes,I alt,0.053198067136894,114,2143
1833,Rana,11,0.0043279363966467095,59,13632
1833,Rana,12,0.052742140155745604,719,13632
1833,Rana,13,0.0196591009203613,268,13632
1833,Rana,14,0.00718877570968437,98,13632
1833,Rana,I alt,0.083917953182438,1144,13632
1834,Lurøy,11,,,944
1834,Lurøy,12,0.03282851548394,31,944
1834,Lurøy,13,0.0116488280749464,11,944
1834,Lurøy,14,,,944
1834,Lurøy,I alt,0.0508312497815845,48,944
