date,date_time,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-03-26,2020-03-26T04:00:00Z,1837,Meløy,18,Nordland,6288,1
2020-03-26,2020-03-26T04:00:00Z,1838,Gildeskål,18,Nordland,1950,0
2020-03-26,2020-03-26T04:00:00Z,1839,Beiarn,18,Nordland,1017,0
2020-03-26,2020-03-26T04:00:00Z,1840,Saltdal,18,Nordland,4671,0
2020-03-26,2020-03-26T04:00:00Z,1841,Fauske,18,Nordland,9739,0
2020-03-26,2020-03-26T04:00:00Z,1845,Sørfold,18,Nordland,1926,0
2020-03-26,2020-03-26T04:00:00Z,1848,Steigen,18,Nordland,2608,1
2020-03-26,2020-03-26T04:00:00Z,1851,Lødingen,18,Nordland,2034,0
2020-03-26,2020-03-26T04:00:00Z,1853,Evenes,18,Nordland,1348,0
2020-03-26,2020-03-26T04:00:00Z,1856,Røst,18,Nordland,498,0
2020-03-26,2020-03-26T04:00:00Z,1857,Værøy,18,Nordland,728,0
2020-03-26,2020-03-26T04:00:00Z,1859,Flakstad,18,Nordland,1272,0
2020-03-26,2020-03-26T04:00:00Z,1860,Vestvågøy,18,Nordland,11433,1
2020-03-26,2020-03-26T04:00:00Z,1865,Vågan,18,Nordland,9608,2
2020-03-26,2020-03-26T04:00:00Z,1866,Hadsel,18,Nordland,8061,3
2020-03-26,2020-03-26T04:00:00Z,1867,Bø,18,Nordland,2569,0
2020-03-26,2020-03-26T04:00:00Z,1868,Øksnes,18,Nordland,4410,0
2020-03-26,2020-03-26T04:00:00Z,1870,Sortland,18,Nordland,10566,1
2020-03-26,2020-03-26T04:00:00Z,1871,Andøy,18,Nordland,4663,0
2020-03-26,2020-03-26T04:00:00Z,1874,Moskenes,18,Nordland,1015,0
2020-03-26,2020-03-26T04:00:00Z,1875,Hamarøy,18,Nordland,2766,0
2020-03-26,2020-03-26T04:00:00Z,3001,Halden,30,Viken,31373,5
2020-03-26,2020-03-26T04:00:00Z,3002,Moss,30,Viken,49273,17
2020-03-26,2020-03-26T04:00:00Z,3003,Sarpsborg,30,Viken,56732,19
2020-03-26,2020-03-26T04:00:00Z,3004,Fredrikstad,30,Viken,82385,33
2020-03-26,2020-03-26T04:00:00Z,3005,Drammen,30,Viken,101386,55
2020-03-26,2020-03-26T04:00:00Z,3006,Kongsberg,30,Viken,27723,14
2020-03-26,2020-03-26T04:00:00Z,3007,Ringerike,30,Viken,30641,2
2020-03-26,2020-03-26T04:00:00Z,3011,Hvaler,30,Viken,4668,0
2020-03-26,2020-03-26T04:00:00Z,3012,Aremark,30,Viken,1325,0
2020-03-26,2020-03-26T04:00:00Z,3013,Marker,30,Viken,3595,0
2020-03-26,2020-03-26T04:00:00Z,3014,Indre Østfold,30,Viken,44792,25
2020-03-26,2020-03-26T04:00:00Z,3015,Skiptvet,30,Viken,3805,1
2020-03-26,2020-03-26T04:00:00Z,3016,Rakkestad,30,Viken,8255,0
2020-03-26,2020-03-26T04:00:00Z,3017,Råde,30,Viken,7508,1
2020-03-26,2020-03-26T04:00:00Z,3018,Våler (Viken),30,Viken,5736,1
2020-03-26,2020-03-26T04:00:00Z,3019,Vestby,30,Viken,18042,15
2020-03-26,2020-03-26T04:00:00Z,3020,Nordre Follo,30,Viken,59288,51
2020-03-26,2020-03-26T04:00:00Z,3021,Ås,30,Viken,20439,11
2020-03-26,2020-03-26T04:00:00Z,3022,Frogn,30,Viken,15877,14
2020-03-26,2020-03-26T04:00:00Z,3023,Nesodden,30,Viken,19616,26
2020-03-26,2020-03-26T04:00:00Z,3024,Bærum,30,Viken,127731,186
2020-03-26,2020-03-26T04:00:00Z,3025,Asker,30,Viken,94441,70
