date,date_time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,cases
2020-04-03,2020-04-03T17:00:00Z,1528,Sykkylven,NA,NA,1528,Sykkylven,15,Møre og Romsdal,7625,0
2020-04-03,2020-04-03T17:00:00Z,1531,Sula,NA,NA,1531,Sula,15,Møre og Romsdal,9310,6
2020-04-03,2020-04-03T17:00:00Z,1532,Giske,NA,NA,1532,Giske,15,Møre og Romsdal,8462,5
2020-04-03,2020-04-03T17:00:00Z,1535,Vestnes,NA,NA,1535,Vestnes,15,Møre og Romsdal,6532,0
2020-04-03,2020-04-03T17:00:00Z,1539,Rauma,NA,NA,1539,Rauma,15,Møre og Romsdal,7468,10
2020-04-03,2020-04-03T17:00:00Z,1547,Aukra,NA,NA,1547,Aukra,15,Møre og Romsdal,3509,0
2020-04-03,2020-04-03T17:00:00Z,1554,Averøy,NA,NA,1554,Averøy,15,Møre og Romsdal,5788,0
2020-04-03,2020-04-03T17:00:00Z,1557,Gjemnes,NA,NA,1557,Gjemnes,15,Møre og Romsdal,2629,0
2020-04-03,2020-04-03T17:00:00Z,1560,Tingvoll,NA,NA,1560,Tingvoll,15,Møre og Romsdal,3025,1
2020-04-03,2020-04-03T17:00:00Z,1563,Sunndal,NA,NA,1563,Sunndal,15,Møre og Romsdal,7036,2
2020-04-03,2020-04-03T17:00:00Z,1566,Surnadal,NA,NA,1566,Surnadal,15,Møre og Romsdal,5920,1
2020-04-03,2020-04-03T17:00:00Z,1573,Smøla,NA,NA,1573,Smøla,15,Møre og Romsdal,2150,0
2020-04-03,2020-04-03T17:00:00Z,1576,Aure,NA,NA,1576,Aure,15,Møre og Romsdal,3507,3
2020-04-03,2020-04-03T17:00:00Z,1577,Volda,NA,NA,1577,Volda,15,Møre og Romsdal,10473,4
2020-04-03,2020-04-03T17:00:00Z,1578,Fjord,NA,NA,1578,Fjord,15,Møre og Romsdal,2549,1
2020-04-03,2020-04-03T17:00:00Z,1579,Hustadvika,NA,NA,1579,Hustadvika,15,Møre og Romsdal,13279,2
2020-04-03,2020-04-03T17:00:00Z,1804,Bodø,NA,NA,1804,Bodø,18,Nordland,52357,26
2020-04-03,2020-04-03T17:00:00Z,1806,Narvik,NA,NA,1806,Narvik,18,Nordland,21845,2
2020-04-03,2020-04-03T17:00:00Z,1811,Bindal,NA,NA,1811,Bindal,18,Nordland,1426,0
2020-04-03,2020-04-03T17:00:00Z,1812,Sømna,NA,NA,1812,Sømna,18,Nordland,1975,2
2020-04-03,2020-04-03T17:00:00Z,1813,Brønnøy,NA,NA,1813,Brønnøy,18,Nordland,7917,4
