kommune_bydel_no,kommune_bydel_name,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26
5044,Namsskogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5045,Grong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5046,Høylandet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5047,Overhalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5049,Flatanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5052,Leka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5053,Inderøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5054,Indre Fosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5055,Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5056,Hitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5057,Ørland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
5058,Åfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5059,Orkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
5060,Nærøysund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5061,Rindal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5401,Tromsø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
5402,Harstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5403,Alta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5404,Vardø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5405,Vadsø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5406,Hammerfest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
5411,Kvæfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5412,Tjeldsund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5413,Ibestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5414,Gratangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5415,Lavangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5416,Bardu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5417,Salangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5418,Målselv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5419,Sørreisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5420,Dyrøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5421,Senja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
5422,Balsfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5423,Karlsøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5424,Lyngen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5425,Storfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5426,Kåfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5427,Skjervøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5428,Nordreisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5429,Kvænangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5430,Kautokeino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5432,Loppa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5433,Hasvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5434,Måsøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5435,Nordkapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5436,Porsanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5437,Karasjok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5438,Lebesby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5439,Gamvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5440,Berlevåg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5441,Tana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5442,Nesseby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5443,Båtsfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5444,Sør-Varanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9998,Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9999,Ukjent Kommune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
