organisation_number,company_name,Kommune,Fylke,n_employees
811969192,MIDT-TELEMARK RØR AS AVD NORDAGUTU,Midt-Telemark,Vestfold og Telemark,1
811970212,FINNEIDFJORD TANNKLINIKK AS,Hemnes,Nordland,1
811978302,POTETBAKERN DRIFT AS,Kristiansand,Agder,6
811980072,ITAB PROLIGHT AS,Oslo,Oslo,3
811982822,ELPA AS,Bergen,Vestland,8
811987212,FOODCOURT LA BAGUETTE AVD 1368 SØRLANDSSENTERET,Kristiansand,Agder,14
812000322,JOHANSEN RØRLEGGERBEDRIFT AS,Lier,Viken,1
812001132,MOIS THAIMASSASJE WERRING,Kristiansand,Agder,1
812011162,LETSFACEIT NORDIC AS,Oslo,Oslo,1
812013432,ET HÅRSTUDIO EIDSVÅG AS,Bergen,Vestland,2
812033662,LYDKROKEN SARPSBORG AS,Sarpsborg,Viken,1
812035002,ORKLAND BOWLING AS,Orkland,Trøndelag - Trööndelage,6
812036432,KOINONIA AS,Time,Rogaland,1
812048112,HERAKLES AS,Øygarden,Vestland,2
812048902,TANNLEGE CHRISTINE JARLING AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
812064622,TRYSIL HELSE HUD & SPA AS,Trysil,Innlandet,1
812072102,BOLIGAREAL AS,Sula,Møre og Romsdal,1
812076582,OUTWORK AS,Oslo,Oslo,1
812101722,TANNLEGE BROMANDER AS,Fredrikstad,Viken,4
812104632,M-SHOP AS,Kristiansand,Agder,5
812104772,BOOTS APOTEK LØRENSKOG,Lørenskog,Viken,1
812108662,SUPPORT SERVICE PARTNER AS,Tønsberg,Vestfold og Telemark,46
812119672,FARHAN RAFIQUE AS,Fredrikstad,Viken,2
812127322,FSUBSEA AS,Oslo,Oslo,9
812144472,CAPTAINS ENTERPRISE AS,Oslo,Oslo,1
812153722,MEAW S THAIMAT AS,Sauda,Rogaland,4
812162462,EKKO BYGG AS,Kvinesdal,Agder,3
812175122,DRIVING TRAFIKKSKOLE DRAMMEN AS,Drammen,Viken,5
812175912,COMPASS GROUP FS NORWAY AS AVD 919113,Oslo,Oslo,4
812185772,HARDANGERBADET AS,Kvam,Vestland,8
812188852,SVALBARD ADVENTURES AS,Svalbard, ,2
812191292,TANNLEGE SILJE EIKRE AS,Kongsberg,Viken,1
812203932,HELGELAND TAKST AS,Alstahaug,Nordland,2
812205862,7 FJELL BRYGGERI AS,Bergen,Vestland,5
812221752,TRONDHEIMSTERMINALEN AS,Trondheim,Trøndelag - Trööndelage,1
812223542,WOODCON AS,Ringsaker,Innlandet,5
812226452,KRAGERØSNEKKEREN AS,Kragerø,Vestfold og Telemark,7
812235982,WAVEIT AS,Hamar,Innlandet,5
812243462,SYNSENTERET DRAMMEN AS,Drammen,Viken,4
812246682,STINAS FRISØRVERDEN AS,Kristiansund,Møre og Romsdal,4
812259342,BOREAL BUSS AS AVD ORKANGER,Orkland,Trøndelag - Trööndelage,28
812261932,SANZ FRISØR MOSS AS,Moss,Viken,3
812265652,DITMAR ENGE ELEKTRO AS,Sandefjord,Vestfold og Telemark,2
812267442,PP FRISØR AS,Porsgrunn,Vestfold og Telemark,1
812272292,JORDBÆRPIKENE BRYNE AS,Time,Rogaland,15
812274392,ORIS DENTAL AS AVD HVALER,Hvaler,Viken,1
812281402,TANNLEGENE BERGSDAL OG SKULBRU AS,Vestvågøy,Nordland,3
812283162,IMPULS BEVEGELSEN AS,Stavanger,Rogaland,3
812312502,UNDELAND MISJONSGÅRD AS,Lyngdal,Agder,2
812313762,VESTSIDEN TANNLEGEKONTOR AS,Kongsberg,Viken,5
812315722,VY BUSS AS AVD RØROS,Røros,Trøndelag - Trööndelage,6
812321412,FJERNVARMEINSTALLASJON AS,Trondheim,Trøndelag - Trööndelage,4
812322192,T.T KRAN OG INDUSTRIELT VEDLIKEHOLD AS,Rana,Nordland,2
812323172,OH HAPPY DAY AS,Hamar,Innlandet,1
812328522,STILL NORGE AS AVD STAVANGER,Stavanger,Rogaland,1
812337262,HEIMDAL MALERTEAM AS,Trondheim,Trøndelag - Trööndelage,2
812337602,IDEA DESIGN AS,Oslo,Oslo,3
812339052,DIDEILA AS,Sandnes,Rogaland,4
812348752,BOLIG SOLUTIONS AS,Asker,Viken,2
812350102,ARCTIC FOOD AS,Bærum,Viken,1
812350242,ELTEX ELVERUM AS,Elverum,Innlandet,1
812362542,TANNLEGE DR. LARS RUDEL - MNTF,Steinkjer,Trøndelag - Trööndelage,2
812365002,AMBERG NORGE AS,Bærum,Viken,1
812368842,TN BYGGENTREPRENØR AS,Hamar,Innlandet,5
812383582,EIENDOMSMEGLER VEST AS AVD VOSS,Voss,Vestland,1
812386042,SAM TAK AS,Drammen,Viken,2
812395432,NORDIC ROADS AS,Strand,Rogaland,7
812411632,YES! VI LEKER EIDSVOLL AS,Eidsvoll,Viken,1
812428292,SØRLANDSSENTERET SPECSAVERS AS,Kristiansand,Agder,9
812437992,NARVESEN BUTIKKEN 197 SØRLANDSSENT,Kristiansand,Agder,1
812438182,MIRETU RÖR & SVEIS AS,Horten,Vestfold og Telemark,3
812440942,CLIMATECH AS,Indre Østfold,Viken,3
812441612,WOWBODY AS,Oslo,Oslo,1
812446312,TANNLEGE UNNI AUGESTAD AS,Porsgrunn,Vestfold og Telemark,3
812446622,CAFE OPUS STRØMMEN STORSENTER AVD 1367,Lillestrøm,Viken,5
812447262,REHABPARTNER AS,Oslo,Oslo,2
812454692,ARNA REGNSKAPSKONTOR AS,Bergen,Vestland,1
812455362,SYNSAM GROUP NORWAY AS AVD SØRLANDSSENTERET,Kristiansand,Agder,3
812461842,EMBALLASJEKAMERATENE AS,Sandnes,Rogaland,4
812464612,ARCHER CONSULTING AS,Stavanger,Rogaland,2
812465872,GREVSKAPET AUTO AS,Stange,Innlandet,5
812471392,SODEXO AS 28820 ØSTENSJØVEIEN 27,Oslo,Oslo,4
812477242,BEWI INSULATION NORWAY AS,Frøya,Trøndelag - Trööndelage,2
812482262,RAULAND BYGGTJENESTE AS,Vinje,Vestfold og Telemark,1
812486462,GAMLE MUSEET AS,Oslo,Oslo,10
812491482,BJK 1903 EMRAH GÖCMEN,Stavanger,Rogaland,2
812495232,MANAO AS,Bærum,Viken,2
812501372,BJØRK COFFEE HOUSE,Ålesund,Møre og Romsdal,1
812501852,SILJES FOT OG HUDPLEIE AS,Nittedal,Viken,1
812512382,SØSTRENE GRENE,Lier,Viken,4
812521632,RUNE VIK,Asker,Viken,1
812523252,KID INTERIØR AS AVD 109 FAUSKE,Fauske - Fuosko,Nordland,3
812523252,KID INTERIØR AS AVD 109 FAUSKE,Fauske - Fuossko,Nordland,3
812535072,POWERLINE NO D.O.O.,Molde,Møre og Romsdal,28
812539272,SPANIA1.NO,Bergen,Vestland,2
812541412,ROLL & COMPANY AS,Trondheim,Trøndelag - Trööndelage,1
812544802,ELVEBYEN EIENDOM AS,Drammen,Viken,1
812548042,MULTISERVICE & DRIFTSTJENESTER AS,Oslo,Oslo,2
812551272,BOLIG ENGROS AS,Drammen,Viken,1
812551582,I-PACK DIGITAL AS,Sarpsborg,Viken,4
812552392,ENERIN AS,Kinn,Vestland,1
812553402,TROHAUG & SAMUELSEN AS,Bergen,Vestland,5
812555332,JORDBÆRPIKENE ARENA AS,Arendal,Agder,7
812560832,HÅ BYGGTEKNIKK AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
812561952,VICTORIAS CAFE & TAPAS AS,Oslo,Oslo,1
812562622,AHMAD HASSAN,Drammen,Viken,1
812576232,REINHARTSEN MEDIA AS,Oslo,Oslo,4
812582542,ISS FACILITY SERVICES AS AVD VARD HOVEDKANTINE,Porsgrunn,Vestfold og Telemark,2
812586742,HURTIGRUTEN PLUSS AS AVD LANDANSATTE OSLO,Oslo,Oslo,80
812592262,HM BYGG MEHMETI AS,Oslo,Oslo,1
812592742,ALIBIER AS,Oslo,Oslo,3
812605232,BAKER HANSEN MAJORSTUKRYSSET,Oslo,Oslo,17
812614142,KLINIKK REE AS,Stavanger,Rogaland,1
812625322,KALSTAD MASKIN AS,Gausdal,Innlandet,3
812626752,BERGEN FITNESS AS,Bergen,Vestland,1
812628542,ART FRISØR SALONG AS,Fredrikstad,Viken,4
812633422,ROSALES AS,Kvam,Vestland,7
812638912,FJELLSENTRALEN AS,Oppdal,Trøndelag - Trööndelage,4
812642782,GT SERVICEBEDRIFT AS,Oslo,Oslo,2
812645382,ELITE SERVICE PARTNER AS KANTINE TROMSØ POSTTERMINAL,Tromsø,Troms og Finnmark - Romsa ja Finnmárku,1
812662902,HELLA BETONG AS,Alver,Vestland,3
812663402,BORGA STÅLBYGG AS,Ås,Viken,3
812664492,BØRN PRODUCTIONS AS,Oslo,Oslo,1
812669982,POLARSIRKELEN MANUELLTERAPI OG TRENING AS,Rana,Nordland,1
812675672,JMT NORDIC AS,Bergen,Vestland,1
812677802,HEGNA & LARSEN EIENDOM AS,Harstad,Troms og Finnmark - Romsa ja Finnmárku,1
812686402,BLOMSTERPIKENE HALLINGDAL HAGE OG BLOMSTER AS,Ål,Viken,1
812691392,IMPULSE TRENINGSSENTER AS AVD GRILSTAD,Trondheim,Trøndelag - Trööndelage,3
812692402,DR HÅR,Frogn,Viken,1
